date;year;month;sessions;searches
2019-01;2019;1;7454104;11404088
2019-02;2019;2;6791849;8546751
2019-03;2019;3;7151561;9545732
2019-04;2019;4;7111621;9653586
2019-05;2019;5;7799312;11082118
2019-06;2019;6;8362853;11167176
2019-07;2019;7;9968007;12719019
2019-08;2019;8;9352419;12211324
2019-09;2019;9;8411082;12136544
2019-10;2019;10;7365376;11092241
2019-11;2019;11;6094844;9144580
2019-12;2019;12;6372805;8801604
2020-01;2020;1;9330888;13831067
2020-02;2020;2;8620124;10833165
2020-03;2020;3;3973670;3980681
2020-04;2020;4;1268015;868628
2020-05;2020;5;1322389;1000242
2020-06;2020;6;2381712;2438742
2020-07;2020;7;5481396;7129967
2020-08;2020;8;5181114;7008779
2020-09;2020;9;3586715;4147377
2020-10;2020;10;2670413;2902165
2020-11;2020;11;1323686;1241242
